Sample_ID,Original_Sentence,Original_Intent,Original_Entities,Augmented_Sentence,Augmented_Intent,Augmented_Entities,Augmentation_Method,Quality_Score_1_5,Naturalness_Score_1_5,Comments,Approved_Yes_No
17,giảm máy lạnh em ơi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",giảm máy lạnh em ơi với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
18,ồn quá giảm cho anh cái radio xuống với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",ồn quá giảm xuống cho anh cái radio xuống với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
19,ồn quá giảm cho anh cái radio xuống với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",Bạn ơi ồn quá giảm cho anh cái radio xuống với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",politeness_addition,,,,
20,"em ơi, giảm cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]","em ơi, giảm xuống cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
21,"em ơi, giảm cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]","em ơi, giảm cho anh cái máy lạnh với được không",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
22,em ơi tăng radio lên 38% giúp chị,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""38%""}]",em ơi nâng radio lên 38% giúp chị,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""38%""}]",synonym_replacement,,,,
23,"bạn ơi, hãy giảm radio cho mình radio xuống còn 65% nha",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","bạn ơi, hãy hạ radio cho mình radio xuống còn 65% nha",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",synonym_replacement,,,,
24,"bạn ơi, hãy giảm radio cho mình radio xuống còn 65% nha",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","bạn ơi, hãy giảm radio cho mình radio xuống còn 65% nha nhé",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",politeness_addition,,,,
25,bạn ơi lạnh quá giảm giúp mình máy lạnh xuống nhé,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",bạn ơi lạnh quá điều chỉnh xuống giúp mình máy lạnh xuống nhé,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
26,bạn ơi lạnh quá giảm giúp mình máy lạnh xuống nhé,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",Giúp tôi bạn ơi lạnh quá giảm giúp mình máy lạnh xuống nhé,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
27,tăng radio thêm 31% lúc 11 giờ 27 phút cho mình,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""changing value"", ""filler"": ""31%""}, {""type"": ""time at"", ""filler"": ""11 giờ 27 phút""}]",nâng radio thêm 31% lúc 11 giờ 27 phút cho mình,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""changing value"", ""filler"": ""31%""}, {""type"": ""time at"", ""filler"": ""11 giờ 27 phút""}]",synonym_replacement,,,,
28,tăng radio thêm 31% lúc 11 giờ 27 phút cho mình,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""changing value"", ""filler"": ""31%""}, {""type"": ""time at"", ""filler"": ""11 giờ 27 phút""}]",tăng radio thêm 31% lúc 11 giờ 27 phút cho mình được không,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""changing value"", ""filler"": ""31%""}, {""type"": ""time at"", ""filler"": ""11 giờ 27 phút""}]",politeness_addition,,,,
29,"ồn quá, bạn giảm cái radio xuống 1 chút giúp mình với",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]","ồn quá, bạn điều chỉnh xuống cái radio xuống 1 chút giúp mình với",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
30,"ồn quá, bạn giảm cái radio xuống 1 chút giúp mình với",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]","Xin hãy ồn quá, bạn giảm cái radio xuống 1 chút giúp mình với đi",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",politeness_addition,,,,
31,em yêu ơi giảm giúp anh cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",em yêu ơi điều chỉnh xuống giúp anh cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
32,em yêu ơi giảm giúp anh cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",Bạn ơi em yêu ơi giảm giúp anh cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
33,tiếng radio ở phòng thay đồ số 2 bé quá bạn tăng lên cho mình đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}]",tiếng radio ở phòng thay đồ số 2 bé quá bạn điều chỉnh lên lên cho mình đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}]",synonym_replacement,,,,
34,tiếng radio ở phòng thay đồ số 2 bé quá bạn tăng lên cho mình đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}]",tiếng radio ở phòng thay đồ số 2 bé quá bạn tăng lên cho mình đi với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}]",politeness_addition,,,,
35,em ơi giảm giúp anh cái bóng sưởi xuống 76% với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",em ơi giảm xuống giúp anh cái bóng sưởi xuống 76% với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",synonym_replacement,,,,
36,em ơi giảm giúp anh cái bóng sưởi xuống 76% với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",Giúp tôi em ơi giảm giúp anh cái bóng sưởi xuống 76% với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",politeness_addition,,,,
37,em ơi giảm cho anh cái máy lạnh nhá,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",em ơi giảm xuống cho anh cái máy lạnh nhá,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
38,em ơi giảm cho anh cái máy lạnh nhá,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",Anh/chị ơi em ơi giảm cho anh cái máy lạnh nhá,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
39,bạn ơi giảm cho radio xuống mức 65% nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",bạn ơi điều chỉnh xuống cho radio xuống mức 65% nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",synonym_replacement,,,,
40,bạn ơi giảm cho radio xuống mức 65% nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",bạn ơi giảm cho radio xuống mức 65% nhé nha,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",politeness_addition,,,,
41,em ơi lạnh quá giảm giúp anh cái máy lạnh xuống đi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",em ơi lạnh quá hạ giúp anh cái máy lạnh xuống đi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
42,trợ lý ảo ơi giảm giúp mình cái máy lạnh xuống với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",trợ lý ảo ơi điều chỉnh xuống giúp mình cái máy lạnh xuống với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
43,trợ lý ảo ơi giảm giúp mình cái máy lạnh xuống với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",trợ lý ảo ơi giảm giúp mình cái máy lạnh xuống với nhé,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
44,lạnh quá em ơi giảm giúp anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",lạnh quá em ơi hạ giúp anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
45,lạnh quá em ơi giảm giúp anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",Có thể lạnh quá em ơi giảm giúp anh cái máy lạnh với nhé,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
46,ông cháu ơi tăng radio giúp mình với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",ông cháu ơi tăng lên radio giúp mình với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
47,"bạn ơi, tăng cái ti vi cho mình trong 23 tiếng 56 phút nhá",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]","bạn ơi, tăng lên cái ti vi cho mình trong 23 tiếng 56 phút nhá",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",synonym_replacement,,,,
48,"bạn ơi, tăng cái ti vi cho mình trong 23 tiếng 56 phút nhá",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]","bạn ơi, tăng cái ti vi cho mình trong 23 tiếng 56 phút nhá nha",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",politeness_addition,,,,
49,"bạn ơi, tăng cái ti vi cho mình trong 23 tiếng 56 phút nhá",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]","trong 23, bạn ơi, tăng cái ti vi cho mình ",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",sentence_restructuring,,,,
50,tăng radio phòng thay đồ số 2 lên 38% đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}]",nâng radio phòng thay đồ số 2 lên 38% đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}]",synonym_replacement,,,,
51,tăng radio phòng thay đồ số 2 lên 38% đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}]",Làm ơn tăng radio phòng thay đồ số 2 lên 38% đi với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}]",politeness_addition,,,,
52,em ơi tăng cho anh cái radio ở phòng thay đồ số 2 lên 38% vào lúc 4 tiếng 44 phút nhá,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}, {""type"": ""duration"", ""filler"": ""4 tiếng 44 phút""}]","vào lúc, em ơi tăng cho anh cái radio ở phòng thay đồ số 2 lên 38% ",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}, {""type"": ""duration"", ""filler"": ""4 tiếng 44 phút""}]",sentence_restructuring,,,,
53,"giảm máy lạnh cho anh đi em ơi, anh nổi hết cả da gà rồi",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]","hạ máy lạnh cho anh đi em ơi, anh nổi hết cả da gà rồi",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
54,"giảm máy lạnh cho anh đi em ơi, anh nổi hết cả da gà rồi",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]","giảm máy lạnh cho anh đi em ơi, anh nổi hết cả da gà rồi đi",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
55,"em ơi, giảm cho anh cái ti vi với",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]","em ơi, hạ cho anh cái ti vi với",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",synonym_replacement,,,,
56,"em ơi, giảm cho anh cái ti vi với",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]","Xin hãy em ơi, giảm cho anh cái ti vi với được không",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",politeness_addition,,,,
57,"em ơi, giảm cho anh cái máy lạnh được không",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]","em ơi, hạ cho anh cái máy lạnh được không",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
58,em ơi giảm ti vi xuống giúp chị với tiếng nó bị to quá,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",em ơi giảm xuống ti vi xuống giúp chị với tiếng nó bị to quá,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",synonym_replacement,,,,
59,em ơi giảm ti vi xuống giúp chị với tiếng nó bị to quá,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",em ơi giảm ti vi xuống giúp chị với tiếng nó bị to quá đi,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",politeness_addition,,,,
60,tới giờ rồi giảm âm lượng ti vi xuống một chút nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",tới giờ rồi hạ âm lượng ti vi xuống một chút nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",synonym_replacement,,,,
61,tới giờ rồi giảm âm lượng ti vi xuống một chút nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",Làm ơn tới giờ rồi giảm âm lượng ti vi xuống một chút nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",politeness_addition,,,,
62,bạn ơi giảm giúp mình cái máy lạnh với lạnh quá,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",bạn ơi điều chỉnh xuống giúp mình cái máy lạnh với lạnh quá,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
63,bạn ơi giảm giúp mình cái máy lạnh với lạnh quá,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",Anh/chị ơi bạn ơi giảm giúp mình cái máy lạnh với lạnh quá,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
64,đến 11 giờ 27 phút thì tăng cho mình cái radio lên nhớ,tăng âm lượng của thiết bị,"[{""type"": ""time at"", ""filler"": ""11 giờ 27 phút""}, {""type"": ""device"", ""filler"": ""radio""}]",đến 11 giờ 27 phút thì tăng lên cho mình cái radio lên nhớ,tăng âm lượng của thiết bị,"[{""type"": ""time at"", ""filler"": ""11 giờ 27 phút""}, {""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
65,đến 11 giờ 27 phút thì tăng cho mình cái radio lên nhớ,tăng âm lượng của thiết bị,"[{""type"": ""time at"", ""filler"": ""11 giờ 27 phút""}, {""type"": ""device"", ""filler"": ""radio""}]",đến 11 giờ 27 phút thì tăng cho mình cái radio lên nhớ nhé,tăng âm lượng của thiết bị,"[{""type"": ""time at"", ""filler"": ""11 giờ 27 phút""}, {""type"": ""device"", ""filler"": ""radio""}]",politeness_addition,,,,
66,"giảm cho mình cái radio xuống còn 65% với, to quá",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","điều chỉnh xuống cho mình cái radio xuống còn 65% với, to quá",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",synonym_replacement,,,,
67,"giảm cho mình cái radio xuống còn 65% với, to quá",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","Anh/chị ơi giảm cho mình cái radio xuống còn 65% với, to quá",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",politeness_addition,,,,
68,em ơi giảm cho anh cái ti vi với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",em ơi điều chỉnh xuống cho anh cái ti vi với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",synonym_replacement,,,,
69,em ơi giảm cho anh cái ti vi với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",em ơi giảm cho anh cái ti vi với giúp tôi,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",politeness_addition,,,,
70,tiếng bé quá bạn hỗ trợ tăng cho mình cái radio với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",tiếng bé quá bạn hỗ trợ nâng cho mình cái radio với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
71,tiếng bé quá bạn hỗ trợ tăng cho mình cái radio với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",tiếng bé quá bạn hỗ trợ tăng cho mình cái radio với nhé,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",politeness_addition,,,,
72,lạnh quá bạn giảm cho mình cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",lạnh quá bạn hạ cho mình cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
73,lạnh quá bạn giảm cho mình cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",lạnh quá bạn giảm cho mình cái máy lạnh nhé,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
74,"bật to quá, giảm cho mình cái radio xuống 65% nhé",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","khởi động to quá, giảm cho mình cái radio xuống 65% nhé",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",synonym_replacement,,,,
