Sample_ID,Original_Sentence,Original_Intent,Original_Entities,Augmented_Sentence,Augmented_Intent,Augmented_Entities,Augmentation_Method,Quality_Score_1_5,Naturalness_Score_1_5,Comments,Approved_Yes_No
13,âm lượng to quá hãy giảm cái radio lại đi,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",âm lượng to quá hãy giảm xuống cái radio lại đi,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
14,âm lượng to quá hãy giảm cái radio lại đi,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",Có thể âm lượng to quá hãy giảm cái radio lại đi,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",politeness_addition,,,,
15,tăng giúp mình cái ti vi trong 23 tiếng 56 phút nhá,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",nâng giúp mình cái ti vi trong 23 tiếng 56 phút nhá,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",synonym_replacement,,,,
16,tăng giúp mình cái ti vi trong 23 tiếng 56 phút nhá,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",Anh/chị ơi tăng giúp mình cái ti vi trong 23 tiếng 56 phút nhá với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",politeness_addition,,,,
17,giảm máy lạnh em ơi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",giảm xuống máy lạnh em ơi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
18,ồn quá giảm cho anh cái radio xuống với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",ồn quá hạ cho anh cái radio xuống với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
19,ồn quá giảm cho anh cái radio xuống với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",Anh/chị ơi ồn quá giảm cho anh cái radio xuống với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",politeness_addition,,,,
20,"em ơi, giảm cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]","em ơi, giảm xuống cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
21,"em ơi, giảm cho anh cái máy lạnh với",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]","em ơi, giảm cho anh cái máy lạnh với với",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
22,em ơi tăng radio lên 38% giúp chị,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""38%""}]",em ơi tăng lên radio lên 38% giúp chị,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""38%""}]",synonym_replacement,,,,
23,em ơi tăng radio lên 38% giúp chị,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""38%""}]",em ơi tăng radio lên 38% giúp chị đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""38%""}]",politeness_addition,,,,
24,"bạn ơi, hãy giảm radio cho mình radio xuống còn 65% nha",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","bạn ơi, hãy điều chỉnh xuống radio cho mình radio xuống còn 65% nha",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",synonym_replacement,,,,
25,"bạn ơi, hãy giảm radio cho mình radio xuống còn 65% nha",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","bạn ơi, hãy giảm radio cho mình radio xuống còn 65% nha được chứ",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",politeness_addition,,,,
26,bạn ơi lạnh quá giảm giúp mình máy lạnh xuống nhé,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",bạn ơi lạnh quá hạ giúp mình máy lạnh xuống nhé,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
27,bạn ơi lạnh quá giảm giúp mình máy lạnh xuống nhé,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",Xin hãy bạn ơi lạnh quá giảm giúp mình máy lạnh xuống nhé,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
28,tăng radio thêm 31% lúc 11 giờ 27 phút cho mình,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""changing value"", ""filler"": ""31%""}, {""type"": ""time at"", ""filler"": ""11 giờ 27 phút""}]",điều chỉnh lên radio thêm 31% lúc 11 giờ 27 phút cho mình,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""changing value"", ""filler"": ""31%""}, {""type"": ""time at"", ""filler"": ""11 giờ 27 phút""}]",synonym_replacement,,,,
29,"ồn quá, bạn giảm cái radio xuống 1 chút giúp mình với",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]","ồn quá, bạn điều chỉnh xuống cái radio xuống 1 chút giúp mình với",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
30,em yêu ơi giảm giúp anh cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",em yêu ơi hạ giúp anh cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
31,em yêu ơi giảm giúp anh cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",Có thể em yêu ơi giảm giúp anh cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
32,tiếng radio ở phòng thay đồ số 2 bé quá bạn tăng lên cho mình đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}]",tiếng radio ở phòng thay đồ số 2 bé quá bạn nâng lên cho mình đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}]",synonym_replacement,,,,
33,tiếng radio ở phòng thay đồ số 2 bé quá bạn tăng lên cho mình đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}]",tiếng radio ở phòng thay đồ số 2 bé quá bạn tăng lên cho mình đi với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}]",politeness_addition,,,,
34,em ơi giảm giúp anh cái bóng sưởi xuống 76% với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",em ơi điều chỉnh xuống giúp anh cái bóng sưởi xuống 76% với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""bóng sưởi""}, {""type"": ""target number"", ""filler"": ""76%""}]",synonym_replacement,,,,
35,em ơi giảm cho anh cái máy lạnh nhá,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",em ơi hạ cho anh cái máy lạnh nhá,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
36,bạn ơi giảm cho radio xuống mức 65% nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",bạn ơi giảm xuống cho radio xuống mức 65% nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",synonym_replacement,,,,
37,bạn ơi giảm cho radio xuống mức 65% nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",bạn ơi giảm cho radio xuống mức 65% nhé giúp tôi,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",politeness_addition,,,,
38,em ơi lạnh quá giảm giúp anh cái máy lạnh xuống đi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",em ơi lạnh quá hạ giúp anh cái máy lạnh xuống đi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
39,em ơi lạnh quá giảm giúp anh cái máy lạnh xuống đi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",em ơi lạnh quá giảm giúp anh cái máy lạnh xuống đi giúp tôi,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
40,trợ lý ảo ơi giảm giúp mình cái máy lạnh xuống với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",trợ lý ảo ơi hạ giúp mình cái máy lạnh xuống với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
41,trợ lý ảo ơi giảm giúp mình cái máy lạnh xuống với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",trợ lý ảo ơi giảm giúp mình cái máy lạnh xuống với với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
42,lạnh quá em ơi giảm giúp anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",lạnh quá em ơi điều chỉnh xuống giúp anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
43,lạnh quá em ơi giảm giúp anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",Giúp tôi lạnh quá em ơi giảm giúp anh cái máy lạnh với,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
44,ông cháu ơi tăng radio giúp mình với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",ông cháu ơi tăng lên radio giúp mình với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
45,ông cháu ơi tăng radio giúp mình với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",Xin hãy ông cháu ơi tăng radio giúp mình với nha,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",politeness_addition,,,,
46,"bạn ơi, tăng cái ti vi cho mình trong 23 tiếng 56 phút nhá",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]","bạn ơi, nâng cái ti vi cho mình trong 23 tiếng 56 phút nhá",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",synonym_replacement,,,,
47,"bạn ơi, tăng cái ti vi cho mình trong 23 tiếng 56 phút nhá",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]","Làm ơn bạn ơi, tăng cái ti vi cho mình trong 23 tiếng 56 phút nhá",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",politeness_addition,,,,
48,"bạn ơi, tăng cái ti vi cho mình trong 23 tiếng 56 phút nhá",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]","trong 23, bạn ơi, tăng cái ti vi cho mình ",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}, {""type"": ""duration"", ""filler"": ""23 tiếng 56 phút""}]",sentence_restructuring,,,,
49,tăng radio phòng thay đồ số 2 lên 38% đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}]",nâng radio phòng thay đồ số 2 lên 38% đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}]",synonym_replacement,,,,
50,tăng radio phòng thay đồ số 2 lên 38% đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}]",tăng radio phòng thay đồ số 2 lên 38% đi đi,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}]",politeness_addition,,,,
51,em ơi tăng cho anh cái radio ở phòng thay đồ số 2 lên 38% vào lúc 4 tiếng 44 phút nhá,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}, {""type"": ""duration"", ""filler"": ""4 tiếng 44 phút""}]","vào lúc, em ơi tăng cho anh cái radio ở phòng thay đồ số 2 lên 38% ",tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}, {""type"": ""target number"", ""filler"": ""38%""}, {""type"": ""duration"", ""filler"": ""4 tiếng 44 phút""}]",sentence_restructuring,,,,
52,"giảm máy lạnh cho anh đi em ơi, anh nổi hết cả da gà rồi",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]","hạ máy lạnh cho anh đi em ơi, anh nổi hết cả da gà rồi",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
53,"giảm máy lạnh cho anh đi em ơi, anh nổi hết cả da gà rồi",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]","giảm máy lạnh cho anh đi em ơi, anh nổi hết cả da gà rồi giúp tôi",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
54,"em ơi, giảm cho anh cái ti vi với",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]","em ơi, điều chỉnh xuống cho anh cái ti vi với",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",synonym_replacement,,,,
55,"em ơi, giảm cho anh cái máy lạnh được không",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]","em ơi, giảm xuống cho anh cái máy lạnh được không",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
56,"em ơi, giảm cho anh cái máy lạnh được không",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]","em ơi, giảm cho anh cái máy lạnh được không với",giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
57,em ơi giảm ti vi xuống giúp chị với tiếng nó bị to quá,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",em ơi điều chỉnh xuống ti vi xuống giúp chị với tiếng nó bị to quá,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",synonym_replacement,,,,
58,em ơi giảm ti vi xuống giúp chị với tiếng nó bị to quá,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",Bạn ơi em ơi giảm ti vi xuống giúp chị với tiếng nó bị to quá được chứ,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",politeness_addition,,,,
59,tới giờ rồi giảm âm lượng ti vi xuống một chút nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",tới giờ rồi hạ âm lượng ti vi xuống một chút nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",synonym_replacement,,,,
60,tới giờ rồi giảm âm lượng ti vi xuống một chút nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",Làm ơn tới giờ rồi giảm âm lượng ti vi xuống một chút nhé giúp tôi,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",politeness_addition,,,,
61,bạn ơi giảm giúp mình cái máy lạnh với lạnh quá,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",bạn ơi giảm xuống giúp mình cái máy lạnh với lạnh quá,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
62,bạn ơi giảm giúp mình cái máy lạnh với lạnh quá,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",bạn ơi giảm giúp mình cái máy lạnh với lạnh quá nhé,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
63,đến 11 giờ 27 phút thì tăng cho mình cái radio lên nhớ,tăng âm lượng của thiết bị,"[{""type"": ""time at"", ""filler"": ""11 giờ 27 phút""}, {""type"": ""device"", ""filler"": ""radio""}]",đến 11 giờ 27 phút thì nâng cho mình cái radio lên nhớ,tăng âm lượng của thiết bị,"[{""type"": ""time at"", ""filler"": ""11 giờ 27 phút""}, {""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
64,"giảm cho mình cái radio xuống còn 65% với, to quá",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","giảm xuống cho mình cái radio xuống còn 65% với, to quá",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",synonym_replacement,,,,
65,"giảm cho mình cái radio xuống còn 65% với, to quá",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","Bạn ơi giảm cho mình cái radio xuống còn 65% với, to quá",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",politeness_addition,,,,
66,em ơi giảm cho anh cái ti vi với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",em ơi điều chỉnh xuống cho anh cái ti vi với,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""ti vi""}]",synonym_replacement,,,,
67,tiếng bé quá bạn hỗ trợ tăng cho mình cái radio với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",tiếng bé quá bạn hỗ trợ tăng lên cho mình cái radio với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",synonym_replacement,,,,
68,tiếng bé quá bạn hỗ trợ tăng cho mình cái radio với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",Xin hãy tiếng bé quá bạn hỗ trợ tăng cho mình cái radio với,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}]",politeness_addition,,,,
69,lạnh quá bạn giảm cho mình cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",lạnh quá bạn hạ cho mình cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",synonym_replacement,,,,
70,lạnh quá bạn giảm cho mình cái máy lạnh,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",Giúp tôi lạnh quá bạn giảm cho mình cái máy lạnh nha,giảm nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""máy lạnh""}]",politeness_addition,,,,
71,"bật to quá, giảm cho mình cái radio xuống 65% nhé",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","khởi động to quá, giảm cho mình cái radio xuống 65% nhé",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",synonym_replacement,,,,
72,"bật to quá, giảm cho mình cái radio xuống 65% nhé",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]","Có thể bật to quá, giảm cho mình cái radio xuống 65% nhé với",giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",politeness_addition,,,,
73,tăng âm lượng radio ở trong phòng thay đồ số 2 nhé,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}]",nâng âm lượng radio ở trong phòng thay đồ số 2 nhé,tăng âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""living_space"", ""filler"": ""phòng thay đồ số 2""}]",synonym_replacement,,,,
74,nhạc to quá em giảm cho anh cái radio xuống 65% nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",nhạc to quá em hạ cho anh cái radio xuống 65% nhé,giảm âm lượng của thiết bị,"[{""type"": ""device"", ""filler"": ""radio""}, {""type"": ""target number"", ""filler"": ""65%""}]",synonym_replacement,,,,
