Sample_ID,Original_Sentence,Original_Intent,Original_Entities,Augmented_Sentence,Augmented_Intent,Augmented_Entities,Augmentation_Method,Quality_Score_1_5,Naturalness_Score_1_5,Comments,Approved_Yes_No
18,điều chỉnh nhiệt độ điều hòa 25 độ,tăng nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""điều hòa""}, {""type"": ""target_number"", ""filler"": ""25 độ""}]",điều chỉnh nhiệt độ điều hòa 25 độ với,tăng nhiệt độ của thiết bị,"[{""type"": ""device"", ""filler"": ""điều hòa""}, {""type"": ""target_number"", ""filler"": ""25 độ""}]",politeness_addition,,,,
19,phát nhạc rock,phát nhạc,"[{""type"": ""music_genre"", ""filler"": ""rock""}]",Bạn ơi phát nhạc rock đi,phát nhạc,"[{""type"": ""music_genre"", ""filler"": ""rock""}]",politeness_addition,,,,
20,dừng nhạc,tắt nhạc,[],dừng nhạc được không,tắt nhạc,[],politeness_addition,,,,
21,hẹn giờ bật đèn vào 7 giờ sáng,hẹn giờ tự động,"[{""type"": ""device"", ""filler"": ""đèn""}, {""type"": ""time_at"", ""filler"": ""7 giờ sáng""}]",hẹn giờ kích hoạt đèn vào 7 giờ sáng,hẹn giờ tự động,"[{""type"": ""device"", ""filler"": ""đèn""}, {""type"": ""time_at"", ""filler"": ""7 giờ sáng""}]",synonym_replacement,,,,
22,hẹn giờ bật đèn vào 7 giờ sáng,hẹn giờ tự động,"[{""type"": ""device"", ""filler"": ""đèn""}, {""type"": ""time_at"", ""filler"": ""7 giờ sáng""}]",hẹn giờ bật đèn vào 7 giờ sáng được chứ,hẹn giờ tự động,"[{""type"": ""device"", ""filler"": ""đèn""}, {""type"": ""time_at"", ""filler"": ""7 giờ sáng""}]",politeness_addition,,,,
23,hẹn giờ bật đèn vào 7 giờ sáng,hẹn giờ tự động,"[{""type"": ""device"", ""filler"": ""đèn""}, {""type"": ""time_at"", ""filler"": ""7 giờ sáng""}]","vào 7, hẹn giờ bật đèn ",hẹn giờ tự động,"[{""type"": ""device"", ""filler"": ""đèn""}, {""type"": ""time_at"", ""filler"": ""7 giờ sáng""}]",sentence_restructuring,,,,
24,hủy hẹn giờ tắt quạt,hủy hẹn giờ,"[{""type"": ""device"", ""filler"": ""quạt""}]",hủy hẹn giờ ngắt quạt,hủy hẹn giờ,"[{""type"": ""device"", ""filler"": ""quạt""}]",synonym_replacement,,,,
25,hỏi thời tiết hôm nay,hỏi thời tiết,"[{""type"": ""time_at"", ""filler"": ""hôm nay""}]",Giúp tôi hỏi thời tiết hôm nay nha,hỏi thời tiết,"[{""type"": ""time_at"", ""filler"": ""hôm nay""}]",politeness_addition,,,,
26,bật lò vi sóng ở nhà bếp,bật thiết bị,"[{""type"": ""device"", ""filler"": ""lò vi sóng""}, {""type"": ""living_space"", ""filler"": ""nhà bếp""}]",mở lò vi sóng ở nhà bếp,bật thiết bị,"[{""type"": ""device"", ""filler"": ""lò vi sóng""}, {""type"": ""living_space"", ""filler"": ""nhà bếp""}]",synonym_replacement,,,,
27,bật lò vi sóng ở nhà bếp,bật thiết bị,"[{""type"": ""device"", ""filler"": ""lò vi sóng""}, {""type"": ""living_space"", ""filler"": ""nhà bếp""}]","ở nhà, bật lò vi sóng ",bật thiết bị,"[{""type"": ""device"", ""filler"": ""lò vi sóng""}, {""type"": ""living_space"", ""filler"": ""nhà bếp""}]",sentence_restructuring,,,,
28,tăng tốc độ quạt lên mức 3,tăng tốc độ quạt,"[{""type"": ""device"", ""filler"": ""quạt""}, {""type"": ""target_number"", ""filler"": ""mức 3""}]",nâng tốc độ quạt lên mức 3,tăng tốc độ quạt,"[{""type"": ""device"", ""filler"": ""quạt""}, {""type"": ""target_number"", ""filler"": ""mức 3""}]",synonym_replacement,,,,
29,tăng tốc độ quạt lên mức 3,tăng tốc độ quạt,"[{""type"": ""device"", ""filler"": ""quạt""}, {""type"": ""target_number"", ""filler"": ""mức 3""}]",tăng tốc độ quạt lên mức 3 được chứ,tăng tốc độ quạt,"[{""type"": ""device"", ""filler"": ""quạt""}, {""type"": ""target_number"", ""filler"": ""mức 3""}]",politeness_addition,,,,
30,giảm độ sáng đèn xuống 50%,giảm độ sáng của thiết bị,"[{""type"": ""device"", ""filler"": ""đèn""}, {""type"": ""target_number"", ""filler"": ""50%""}]",điều chỉnh xuống độ sáng đèn xuống 50%,giảm độ sáng của thiết bị,"[{""type"": ""device"", ""filler"": ""đèn""}, {""type"": ""target_number"", ""filler"": ""50%""}]",synonym_replacement,,,,
31,giảm độ sáng đèn xuống 50%,giảm độ sáng của thiết bị,"[{""type"": ""device"", ""filler"": ""đèn""}, {""type"": ""target_number"", ""filler"": ""50%""}]",giảm độ sáng đèn xuống 50% nha,giảm độ sáng của thiết bị,"[{""type"": ""device"", ""filler"": ""đèn""}, {""type"": ""target_number"", ""filler"": ""50%""}]",politeness_addition,,,,
32,bật camera an ninh,bật thiết bị,"[{""type"": ""device"", ""filler"": ""camera an ninh""}]",mở camera an ninh,bật thiết bị,"[{""type"": ""device"", ""filler"": ""camera an ninh""}]",synonym_replacement,,,,
33,tắt tất cả đèn trong nhà,tắt thiết bị,"[{""type"": ""device"", ""filler"": ""tất cả đèn""}, {""type"": ""living_space"", ""filler"": ""trong nhà""}]",đóng tất cả đèn trong nhà,tắt thiết bị,"[{""type"": ""device"", ""filler"": ""tất cả đèn""}, {""type"": ""living_space"", ""filler"": ""trong nhà""}]",synonym_replacement,,,,
34,tắt tất cả đèn trong nhà,tắt thiết bị,"[{""type"": ""device"", ""filler"": ""tất cả đèn""}, {""type"": ""living_space"", ""filler"": ""trong nhà""}]",tắt tất cả đèn trong nhà được chứ,tắt thiết bị,"[{""type"": ""device"", ""filler"": ""tất cả đèn""}, {""type"": ""living_space"", ""filler"": ""trong nhà""}]",politeness_addition,,,,
35,tắt tất cả đèn trong nhà,tắt thiết bị,"[{""type"": ""device"", ""filler"": ""tất cả đèn""}, {""type"": ""living_space"", ""filler"": ""trong nhà""}]","trong nhà, tắt tất cả đèn",tắt thiết bị,"[{""type"": ""device"", ""filler"": ""tất cả đèn""}, {""type"": ""living_space"", ""filler"": ""trong nhà""}]",sentence_restructuring,,,,
